Player,Position,Team,Opp,DPA Avg,FPTS Avg,PASS_TD Avg,PASS_YDS Avg,PASS_ATT Avg,PASS_CMP Avg,INT Avg,RUSH_TD Avg,RUSH_YDS Avg,RUSH_ATT Avg,REC_TD Avg,REC_YDS Avg,REC Avg,ANYTIME_TD Avg,SACK Avg,DraftKings,FanDuel,PrizePicks,Underdog,Fav,Spread,O/U,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Player Salary,Player Image,Tournament,Game Start Time
Savion Hart,RB,GEORGIASTATE,NCAT,,4.52,,,,,,0.16,24.25,3,0.02,5.34,0.7,0.77,,4.739,4.389,4.739,4.739,,,,,,,,,,,,
Kemper Hodges,RB,AIRFORCE,NDST,,4.5,,,,,,0.26,28.88,6,0,0.1,0.01,0.26,,4.468,4.463,4.468,4.468,,,,,,,,,,,,
Tre Page III,RB,OKST,TLSA,,4.48,,,,,,0.18,28.48,6,0.01,2.12,0.2,0.5,,4.4,4.3,4.4,4.4,,,,,,,,,,,,
Marquise Davis,RB,LOU,MISS,,4.45,,,,,,0.26,24.53,4,0.04,1.5,0.26,0.16,,4.663,4.533,4.663,4.663,,,,,,,,,,,,
Ja'Varien Salter,RB,ODU,VATECH,,4.44,,,,,,0.19,24.91,5.3,0.03,2.41,0.41,0.26,,4.462,4.257,4.462,4.462,,,,,,,,,,,,
A.J. Turner,RB,MINNESOTA,EASTIL,,4.44,,,,,,0.15,28.99,0,0.01,3,0,0.13,,4.159,4.159,4.159,4.159,,,,,,,,,,,,
Sesi Vailahi,RB,UTAHSTATE,IDAST,,4.43,,,,,,0.22,21.87,1,0.04,5.3,0.08,0.43,,4.357,4.317,4.357,4.357,,,,,,,,,,,,
Zach Mundell,RB,ARMY,USF,,4.41,,,,,,0.13,18.25,3,0.09,7.93,0.43,0.22,,4.368,4.153,4.368,4.368,,,,,,,,,,,,
Jaziun Patterson,RB,MSU,EMICH,,4.38,,,,,,0.22,19.73,5,0.03,3.2,0.65,0.5,,4.443,4.118,4.443,4.443,,,,,,,,,,,,
Bryson Washington,RB,AUB,BAY,,4.38,,,,,,0.22,18.83,2.5,0.11,4.37,0.14,0.5,,4.44,4.37,4.44,4.44,,,,,,,,,,,,
Jaheim Merriweather,RB,TROY,IND,,4.37,,,,,,0.25,21.12,10,0.01,3.46,0.67,0.4,,4.688,4.353,4.688,4.688,,,,,,,,,,,,
Xavier Gayten,RB,MSST,ULMON,,4.32,,,,,,0.2,20.21,4.5,0.03,5.13,0.6,0.5,,4.514,4.214,4.514,4.514,,,,,,,,,,,,
Nick Herman,RB,JMU,LIB,,4.32,,,,,,0.24,22.79,4,0.01,1.67,0.33,0.5,,4.276,4.111,4.276,4.276,,,,,,,,,,,,
Michael Turner,RB,BAY,AUB,,4.3,,,,,,0.22,22.24,4,0.02,3.66,0.22,0.5,,4.25,4.14,4.25,4.25,,,,,,,,,,,,
Trequan Jones,RB,TLSA,OKST,,4.27,,,,,,0.2,22.82,4,0.01,2.6,0.46,0.04,,4.262,4.032,4.262,4.262,,,,,,,,,,,,
Caden Durham,RB,LSU,CLEM,,4.26,,,,,,0.28,18.17,3,0.01,4.14,0.23,0.5,,4.201,4.086,4.201,4.201,,,,,,,,,,,,
Maurki James,RB,OLDDOMINION,NOR,,4.24,,,,,,0.28,17.1,1,0.03,4.29,0.11,0.4,,4.109,4.054,4.109,4.109,,,,,,,,,,,,
Kevin Riley,RB,ALA,ECU,,4.22,,,,,,0.12,15.04,4,0.03,8.17,0.93,0.97,,4.151,3.686,4.151,4.151,,,,,,,,,,,,
DJ Taylor,RB,MIDDLETENNST,MUR,,4.22,,,,,,0.16,20.89,2,0.07,4.06,0.2,0.28,,4.075,3.975,4.075,4.075,,,,,,,,,,,,
Terrell Washington Jr.,RB,NMEXST,FSU,0,4.22,,,,,,0.17,16.01,0,0.07,8,1,0.14,,4.841,4.341,4.841,4.841,,,,,,,,,,,,
Lolo Mataele,RB,WESTERNMICHIGAN,MONM,,4.21,,,,,,0.26,20.76,4.2,0.01,0.97,0.46,0.28,,4.253,4.023,4.253,4.253,,,,,,,,,,,,
Sitani Mikaele,RB,HAWAII,NMEXST,,4.21,,,,,,0.15,18.27,4,0.05,6.65,0.49,0.16,,4.182,3.937,4.182,4.182,,,,,,,,,,,,
Trav Moore,RB,CENTRALMICHIGAN,NM,,4.2,,,,,,0.12,33.04,6,0,0.67,0.06,0.12,,4.151,4.121,4.151,4.151,,,,,,,,,,,,
Bryan Jackson II,RB,WIS,ND,,4.17,,,,,,0.34,17.01,4,0.01,1.92,0.24,0.5,,4.233,4.113,4.233,4.233,,,,,,,,,,,,
Re'Shaun Sanford II,RB,HOU,ORST,,4.13,,,,,,0.11,22.99,0,0,8,1,0.11,,4.759,4.259,4.759,4.759,,,,,,,,,,,,
Jerrick Gibson,RB,PURDUE,INST,,4.07,,,,,,0.12,20.36,4.5,0.04,5.13,0.83,0.24,,4.339,3.924,4.339,4.339,,,,,,,,,,,,
Jalen Dupree,RB,KANSAS,LIU,,4.05,,,,,,0.24,19.95,5,0,2.17,0.33,0.06,,3.982,3.817,3.982,3.982,,,,,,,,,,,,
Jacob Williams,RB,NAVY,FLAATL,,4.03,,,,,,0.18,15.26,3,0.05,5.77,0.56,0.23,,4.043,3.763,4.043,4.043,,,,,,,,,,,,
Brandon White,RB,KENT,SCAR,,3.99,,,,,,0.02,8.87,8,0.1,16.46,1.24,0.5,,4.493,3.873,4.493,4.493,,,,,,,,,,,,
Cornell Hatcher Jr.,RB,ORST,HOU,,3.93,,,,,,0.17,24.16,5,0.01,2.49,0.23,0.77,,3.975,3.86,3.975,3.975,,,,,,,,,,,,
