Player Name,Position,Team,Slate Type,Date,Role,Salary,Draftable ID,Projected FP,Combined FP,Value,Implied FP,Passing TDs,Rushing Yards,Receiving Yards,Passing Yards,Rush+Rec Yards,Anytime TD,Passing Attempts,Fantasy Score,Headshot URL,Game Start Time,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Game Start Time (DRAFTTABLE)
JayShon Ridgle,RB,UH,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974864,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8224.png,,,,,,,9/5/2026
James Simon,RB,TEX,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974867,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8240.png,,,,,,,9/5/2026
Michael Terry III,RB,TEX,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974870,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8240.png,,,,,,,9/5/2026
Jett Walker,RB,TEX,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974873,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8240.png,,,,,,,9/5/2026
Carson Berger,RB,TEX,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974876,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8240.png,,,,,,,9/5/2026
Ryan Niblett,RB,TEX,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974879,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8240.png,,,,,,,9/5/2026
Jayzon Thompson,RB,CINCY,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974882,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8364.png,,,,,,,9/5/2026
James Lewis,RB,CINCY,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974885,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8364.png,,,,,,,9/5/2026
DeJuan Lacy,RB,ECU,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974888,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8368.png,,,,,,,9/5/2026
Meliq McGowan,RB,ECU,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974891,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8368.png,,,,,,,9/5/2026
